Company,Route,Origin,Destination,Service Type
KMB,1,"竹園邨","尖沙咀碼頭",Regular
KMB,1,"尖沙咀碼頭","竹園邨",Regular
Citybus,1,"中環 (港澳碼頭)","跑馬地 (上)",Regular
KMB,1A,"中秀茂坪","尖沙咀碼頭",Regular
KMB,1A,"尖沙咀碼頭","中秀茂坪",Regular
Citybus,1M,"會展站","跑馬地／黃泥涌峽",Regular
Citybus,1P,"黃泥涌道 (樂活道)","中環",Regular
KMB,2,"尖沙咀碼頭","長沙灣(蘇屋邨)",Regular
KMB,2,"長沙灣(蘇屋邨)","尖沙咀碼頭",Regular
Citybus,2,"嘉亨灣","中環 (港澳碼頭)",Regular
KMB,2A,"樂華","美孚",Regular
KMB,2A,"美孚","樂華",Regular
Citybus,2A,"耀東邨","會展站",Regular
KMB,2B,"竹園邨","長沙灣",Regular
KMB,2B,"長沙灣","竹園邨",Regular
KMB,2D,"澤安邨","黃大仙",Regular
KMB,2D,"黃大仙","澤安邨",Regular
KMB,2E,"九龍城碼頭","白田(北)",Regular
KMB,2E,"白田(北)","九龍城碼頭",Regular
KMB,2F,"慈雲山(北)","長沙灣",Regular
KMB,2F,"慈雲山(北)","長沙灣",Special Service
KMB,2F,"長沙灣","慈雲山(北)",Regular
KMB,2P,"長沙灣","慈雲山(北)",Regular
KMB,2X,"彩福","美孚",Regular
KMB,2X,"美孚","彩福",Regular
Citybus,2X,"嘉亨灣","會展站",Regular
Citybus,3A,"中環 (天星碼頭)","摩星嶺",Regular
KMB,3B,"慈雲山(中)","紅磡(紅鸞道)",Regular
KMB,3B,"紅磡(紅鸞道)","慈雲山(中)",Regular
KMB,3B,"紅磡(紅鸞道)","慈雲山(中)",Special Service
KMB,3C,"慈雲山(北)","中港碼頭",Regular
KMB,3C,"中港碼頭","慈雲山(北)",Regular
KMB,3D,"慈雲山(中)","觀塘(裕民坊)",Regular
KMB,3D,"慈雲山(南)","觀塘(裕民坊)",Special Service
KMB,3D,"正康樓","觀塘(裕民坊)",Special Service
KMB,3D,"觀塘(裕民坊)","慈雲山(中)",Regular
KMB,3D,"觀塘(裕民坊)","慈雲山(南)",Special Service
KMB,3M,"慈雲山(北)","彩雲",Regular
KMB,3M,"彩雲","慈雲山(北)",Regular
KMB,3M,"彩雲","慈雲山(南)",Special Service
KMB,3S,"鑽石山站","鑽石山墳場(循環線)",Regular
KMB,3X,"慈雲山(北)","中港碼頭",Regular
KMB,3X,"慈雲山(北)","中港碼頭",Special Service
KMB,3X,"佐敦(西九龍站)","慈雲山(北)",Regular
Citybus,4,"黃竹坑／華富 (南)","中環",Regular
Citybus,4X,"華富 (南)","中環 (交易廣場)",Regular
KMB,5,"富山邨","尖沙咀碼頭",Regular
KMB,5,"尖沙咀碼頭","富山邨",Regular
KMB,5A,"啟德(啟晴邨)","尖沙咀碼頭",Regular
KMB,5A,"尖沙咀碼頭","啟德(啟晴邨)",Regular
Citybus,5B,"摩星嶺／堅尼地城","銅鑼灣／香港大球場",Regular
KMB,5C,"慈雲山(中)","尖沙咀碼頭",Regular
KMB,5C,"毓華街","尖沙咀碼頭",Special Service
KMB,5C,"尖沙咀碼頭","慈雲山(中)",Regular
KMB,5C,"尖沙咀碼頭","慈雲山(中)",Special Service
KMB,5D,"德福花園","紅磡(循環線)",Regular
KMB,5M,"啟德(德朗邨)","九龍灣站(循環線)",Regular
KMB,5P,"慈雲山(中)","尖沙咀碼頭",Regular
KMB,5P,"尖沙咀碼頭","慈雲山(中)",Regular
KMB,5R,"啟德郵輪碼頭","觀塘 (apm) (循環線)",Regular
KMB,5R,"啟德郵輪碼頭","觀塘 (apm)",Special Service
KMB,5R,"牛頭角站","啟德郵輪碼頭",Special Service
Citybus,5X,"堅尼地城","銅鑼灣 (威非路道)",Regular
KMB,6,"尖沙咀碼頭","荔枝角",Regular
KMB,6,"荔枝角","尖沙咀碼頭",Regular
Citybus,6,"中環 (交易廣場)","赤柱市場",Regular
Citybus,6A,"中環 (交易廣場)","赤柱炮台 (閘口)",Regular
KMB,6C,"九龍城碼頭","美孚",Regular
KMB,6C,"美孚","九龍城碼頭",Regular
KMB,6D,"牛頭角","美孚",Regular
KMB,6D,"美孚","牛頭角",Regular
KMB,6E,"長沙灣(蘇屋邨)","鯉魚門邨",Regular
KMB,6E,"鯉魚門邨","長沙灣(蘇屋邨)",Regular
KMB,6F,"九龍城碼頭","長沙灣(麗閣邨)",Regular
KMB,6F,"長沙灣(麗閣邨)","九龍城碼頭",Regular
KMB,6P,"長沙灣(蘇屋邨)","鯉魚門邨",Regular
KMB,6P,"鯉魚門邨","長沙灣(蘇屋邨)",Regular
KMB,6R,"美孚(美荔道)","昂船洲軍營(循環線)",Regular
KMB,6X,"盛德街","美孚",Regular
KMB,6X,"美孚","九龍城碼頭",Regular
Citybus,6X,"中環 (交易廣場)","赤柱市場",Regular
KMB,7,"尖沙咀碼頭","樂富",Regular
KMB,7,"樂富","尖沙咀碼頭",Regular
Citybus,7,"石排灣","中環碼頭",Regular
KMB,7B,"紅磡(紅鸞道)","樂富",Regular
KMB,7B,"樂富","紅磡(紅鸞道)",Regular
KMB,7M,"樂富","竹園邨(循環線)",Regular
KMB,8,"尖沙咀碼頭","九龍站",Regular
KMB,8,"九龍站","尖沙咀碼頭",Regular
Citybus,8,"杏花邨","會展站",Regular
KMB,8A,"黃埔花園","尖沙咀(循環線)",Regular
Citybus,8H,"小西灣 (藍灣半島)","東華東院",Regular
KMB,8P,"海逸豪園","尖沙咀(循環線)",Regular
KMB,8P,"海逸豪園","尖沙咀漢口道",Special Service
Citybus,8P,"小西灣 (藍灣半島)","會展站",Regular
Citybus,8S,"跑馬地馬場","小西灣 (藍灣半島)",Regular
Citybus,8X,"小西灣 (藍灣半島)","跑馬地 (上)",Regular
KMB,9,"彩福","尖沙咀東(麼地道)",Regular
KMB,9,"尖沙咀東(麼地道)","彩福",Regular
Citybus,9,"筲箕灣","石澳",Regular
Citybus,9C,"筲箕灣","歌連臣角",Regular
KMB,10,"彩雲","大角咀(循環線)",Regular
Citybus,10,"堅尼地城","北角碼頭",Regular
KMB,11,"鑽石山站","九龍站",Regular
KMB,11,"九龍站","鑽石山站",Regular
Citybus,11,"中環碼頭","渣甸山",Regular
KMB,11B,"觀塘(翠屏道)","九龍城碼頭",Regular
KMB,11B,"九龍城碼頭","觀塘(翠屏道)",Regular
KMB,11C,"竹園邨","上秀茂坪",Regular
KMB,11C,"上秀茂坪","竹園邨",Regular
KMB,11D,"樂富","觀塘碼頭",Regular
KMB,11D,"觀塘碼頭","樂富",Regular
KMB,11K,"竹園邨","紅磡站",Regular
KMB,11K,"紅磡站","竹園邨",Regular
KMB,11X,"安泰(北)","紅磡站",Regular
KMB,11X,"紅磡站","安泰(北)",Regular
KMB,12,"海麗邨","尖沙咀東(麼地道)",Regular
KMB,12,"尖沙咀東(麼地道)","海麗邨",Regular
Citybus,12,"中環3號碼頭","羅便臣道／柏道",Regular
KMB,12A,"黃埔花園","長沙灣(海達邨)",Regular
KMB,12A,"長沙灣(海達邨)","黃埔花園",Regular
Citybus,12A,"金鐘 (添馬街)","麥當勞道",Regular
Citybus,12M,"金鐘 (添馬街)","柏道",Regular
KMB,12P,"海麗邨","紅磡站",Regular
Citybus,13,"金鐘 (添馬街)","旭龢道 (半山區)",Regular
KMB,13D,"寶達","維港灣",Regular
KMB,13D,"寶達","維港灣",Special Service
KMB,13D,"維港灣","寶達",Regular
KMB,13M,"觀塘(雅麗道)","寶達(循環線)",Regular
KMB,13M,"寶達","觀塘站",Special Service
KMB,13P,"寶達","長沙灣(麗閣邨)",Regular
KMB,13X,"寶達","尖沙咀東",Regular
KMB,13X,"寶達","尖沙咀東",Special Service
KMB,13X,"彩褔","尖沙咀東",Special Service
KMB,13X,"寶達","尖沙咀東",Special Service
KMB,13X,"尖沙咀東","寶達",Regular
KMB,13X,"尖沙咀東","寶達",Special Service
KMB,14,"鯉魚門邨","中港碼頭",Regular
KMB,14,"中港碼頭","鯉魚門邨",Regular
Citybus,14,"嘉亨灣","赤柱炮台 (閘口)／馬坑",Regular
KMB,14B,"牛頭角","藍田(廣田邨)",Regular
KMB,14B,"樂華","藍田(廣田邨)",Special Service
KMB,14B,"藍田(廣田邨)","牛頭角",Regular
KMB,14D,"油塘","彩虹",Regular
KMB,14D,"藍田(廣田邨)","彩虹",Special Service
KMB,14D,"彩虹","油塘",Regular
KMB,14H,"油塘","順利(循環線)",Regular
KMB,14S,"油塘","將軍澳墳場(循環線)",Regular
KMB,14X,"油塘(崇德圍)","尖沙咀(循環線)",Regular
KMB,15,"平田","紅磡(紅鸞道)",Regular
KMB,15,"紅磡(紅鸞道)","平田",Regular
Citybus,15,"中環","山頂",Regular
KMB,15A,"平田","慈雲山(北)",Regular
KMB,15A,"慈雲山(北)","平田",Regular
Citybus,15B,"灣仔 (會展新翼)","山頂",Regular
Citybus,15C,"中環 (香港摩天輪)","花園道",Regular
KMB,15X,"藍田(廣田邨)","紅磡站",Regular
KMB,15X,"紅磡站","藍田(廣田邨)",Regular
KMB,16,"藍田(廣田邨)","旺角(柏景灣)",Regular
KMB,16,"平田","旺角(柏景灣)",Special Service
KMB,16,"旺角(柏景灣)","藍田(廣田邨)",Regular
KMB,16M,"觀塘(裕民坊)","藍田(康華苑)(循環線)",Regular
KMB,16P,"觀塘碼頭","旺角(柏景灣)",Regular
KMB,16P,"旺角(柏景灣)","觀塘碼頭",Regular
KMB,16X,"藍田(廣田邨)","旺角(柏景灣)",Regular
KMB,16X,"旺角(柏景灣)","藍田(廣田邨)",Regular
KMB,17,"觀塘(裕民坊)","何文田(愛民邨)",Regular
KMB,17,"九龍灣站","何文田(愛民邨)",Special Service
KMB,17,"太子道東(麗晶花園)","何文田(愛民邨)",Special Service
KMB,17,"何文田(愛民邨)","觀塘(裕民坊)",Regular
KMB,18,"長沙灣(海達邨)","愛民(循環線)",Regular
Citybus,18,"北角 (健康中街)","堅尼地城 (卑路乍灣)／上環",Regular
Citybus,18P,"堅尼地城 (卑路乍灣)","北角 (健康中街)",Regular
Citybus,18X,"筲箕灣","堅尼地城 (卑路乍灣)",Regular
KMB,19,"安達臣","鑽石山(啟翔苑)",Regular
KMB,19,"鑽石山(啟翔苑)","安達臣",Regular
Citybus,19P,"筲箕灣","跑馬地 (上)",Regular
Citybus,20,"啟德 (沐安街)","長沙灣 (海達)",Regular
Citybus,20A,"啟德郵輪碼頭 (經:旺角)","高鐵西九龍站 (經:旺角)",Regular
Citybus,20R,"啟德郵輪碼頭","尖沙咀／高鐵西九龍站",Regular
KMB,21,"彩雲","紅磡站",Regular
KMB,21,"紅磡站","彩雲",Regular
Citybus,22,"啟德郵輪碼頭","九龍塘 (又一城)",Regular
Citybus,22D,"啟德站","啟德跑道區",Regular
Citybus,22M,"啟德郵輪碼頭","土瓜灣",Regular
Citybus,22R,"啟德站","啟德郵輪碼頭",Regular
Citybus,22X,"維港1號","啟德站",Regular
KMB,23,"觀塘碼頭","順利(循環線)",Regular
KMB,23,"順天","觀塘碼頭",Special Service
Citybus,23,"北角碼頭","蒲飛路",Regular
Citybus,23B,"寶馬山","柏道／羅便臣道",Regular
KMB,23M,"樂華","順利(循環線)",Regular
KMB,23M,"樂華","順利(循環線)",Special Service
Citybus,23X,"蒲飛路","西灣河",Regular
KMB,24,"啟業","旺角(循環線)",Regular
KMB,24,"啟業","旺角(循環線)",Special Service
KMB,24,"啟業","旺角(循環線)",Special Service
Citybus,25,"中環 (3 / 5 號碼頭)","寶馬山",Regular
Citybus,25A,"會展站","寶馬山",Regular
KMB,25R,"啟德郵輪碼頭","apm創紀之城5期",Regular
KMB,26,"順天","尖沙咀東",Regular
KMB,26,"尖沙咀東","順天",Regular
Citybus,26,"勵德邨","荷李活道",Regular
KMB,26M,"彩虹","觀塘(循環線)",Regular
KMB,26X,"順天","尖沙咀東",Regular
KMB,26X,"尖沙咀東","順天",Regular
KMB,27,"順天","旺角(循環線)",Regular
Citybus,27,"北角碼頭","寶馬山",Regular
KMB,27X,"順天","奧運站",Regular
KMB,27X,"奧運站","順天",Regular
KMB,28,"樂華","尖沙咀碼頭",Regular
KMB,28,"尖沙咀碼頭","樂華",Regular
KMB,28B,"彩福","啟德(啟晴邨)",Regular
KMB,28B,"啟德(啟晴邨)","彩福",Regular
KMB,28B,"啟德(啟晴邨)","彩福",Special Service
KMB,28S,"觀塘(裕民坊)","樂華",Regular
KMB,29M,"順利","新蒲崗(循環線)",Regular
KMB,30,"荃灣(荃威花園)","長沙灣",Regular
KMB,30,"長沙灣","荃灣(荃威花園)",Regular
KMB,30X,"荃灣(荃威花園)","黃埔花園",Regular
KMB,30X,"黃埔花園","荃灣(荃威花園)",Regular
KMB,30X,"黃埔花園","荃灣(荃威花園)",Special Service
Citybus,30X,"數碼港","金鐘(東)",Regular
KMB,31,"荃灣西站","石籬(循環線)",Regular
KMB,31A,"葵涌邨","石籬(大隴街)",Regular
KMB,31B,"石籬(大隴街)","奧運站",Regular
KMB,31B,"奧運站","石籬(大隴街)",Regular
KMB,31M,"石籬(梨貝街)","葵芳站",Regular
KMB,31M,"葵芳站","石籬(梨貝街)",Regular
KMB,31P,"石籬商場","葵芳站",Regular
KMB,32,"荃灣(石圍角)","奧運站",Regular
KMB,32,"奧運站","荃灣(石圍角)",Regular
KMB,32H,"象山","荔枝角",Regular
KMB,32H,"荔枝角","象山",Regular
KMB,32M,"葵芳站","象山(循環線)",Regular
KMB,32P,"荃灣(青山公路)","圓玄學院",Regular
KMB,32P,"圓玄學院","荃灣(青山公路)",Regular
KMB,33,"荃灣西站","油塘",Regular
KMB,33,"油塘","荃灣西站",Regular
KMB,33A,"荃灣(如心廣場)","旺角(柏景灣)",Regular
KMB,33A,"旺角(柏景灣)","荃灣(如心廣場)",Regular
KMB,33B,"荃灣西站","油塘",Regular
KMB,33B,"油塘","荃灣西站",Regular
KMB,33R,"荃灣(愉景新城)","北潭涌",Regular
KMB,33R,"北潭涌","荃灣(愉景新城)",Regular
Citybus,33X,"數碼港","西灣河",Regular
KMB,34,"葵盛(中)","荃灣(灣景花園)",Regular
KMB,34,"荃灣(灣景花園)","葵盛(中)",Regular
KMB,34,"大窩口道富安樓","葵盛(中)",Special Service
KMB,34M,"荃灣(灣景花園)","荃灣站(循環線)",Regular
KMB,35A,"葵涌(安蔭邨)","尖沙咀東",Regular
KMB,35A,"尖沙咀東","葵涌(安蔭邨)",Regular
KMB,35X,"葵涌(安蔭邨)","尖沙咀東",Regular
KMB,35X,"尖沙咀東","葵涌(安蔭邨)",Regular
KMB,36,"荃灣西站","梨木樹(循環線)",Regular
KMB,36,"梨木樹","荃灣西站",Special Service
KMB,36A,"梨木樹","長沙灣(海達邨)(循環線)",Regular
KMB,36B,"梨木樹","佐敦(西九龍站)",Regular
KMB,36B,"佐敦(西九龍站)","梨木樹",Regular
KMB,36M,"梨木樹","葵芳站",Regular
KMB,36M,"葵芳站","梨木樹",Regular
KMB,36R,"紅磡香港體育館","石圍角",Regular
KMB,36X,"梨木樹","尖沙咀東(麼地道)",Regular
KMB,36X,"尖沙咀東(麼地道)","梨木樹",Regular
KMB,37,"奧運站","葵盛(中)",Regular
KMB,37,"奧運站","葵盛(中)",Special Service
KMB,37,"葵盛(中)","奧運站",Regular
Citybus,37A,"置富花園","中環",Regular
Citybus,37B,"置富花園","金鐘",Regular
KMB,37M,"葵興站","葵盛中(循環線)",Regular
KMB,37X,"葵涌邨","油麻地",Regular
Citybus,37X,"置富花園","金鐘",Regular
KMB,38,"葵盛(東)","平田",Regular
KMB,38,"平田","葵盛(東)",Regular
Citybus,38,"置富花園","北角碼頭",Regular
KMB,38A,"荃灣(海濱花園)","美孚",Regular
KMB,38A,"美孚","荃灣(海濱花園)",Regular
KMB,38B,"荃灣(海濱花園)","碩門邨",Regular
KMB,38B,"碩門邨","荃灣(海濱花園)",Regular
KMB,38P,"葵盛(中)","平田",Regular
KMB,38P,"平田","葵盛(中)",Regular
KMB,38S,"葵芳站","荃灣華人永遠墳場",Regular
KMB,38S,"荃灣華人永遠墳場","葵芳站",Regular
KMB,39A,"荃灣西站","荃威花園(循環線)",Regular
KMB,39M,"荃灣(荃威花園)","荃灣站(循環線)",Regular
KMB,40,"荃灣(麗城花園)","麗港城",Regular
KMB,40,"荃灣(麗城花園)","麗港城",Special Service
KMB,40,"麗港城","荃灣(麗城花園)",Regular
Citybus,40,"華富 (北)","會展站",Regular
KMB,40A,"葵興站","平田",Regular
KMB,40B,"葵涌邨","平田",Regular
KMB,40E,"泥涌","葵涌(葵芳邨)",Regular
KMB,40E,"葵芳(南)","泥涌",Regular
Citybus,40M,"華富 (北)","會展站",Regular
KMB,40P,"荃灣(如心廣場)","觀塘碼頭",Regular
KMB,40P,"石蔭東邨","觀塘碼頭",Special Service
KMB,40P,"觀塘碼頭","荃灣(如心廣場)",Regular
Citybus,40P,"華富 (北)","羅便臣道",Regular
KMB,40X,"烏溪沙站","葵涌邨",Regular
KMB,40X,"烏溪沙站","葵芳(南)",Special Service
KMB,40X,"葵涌邨","烏溪沙站",Regular
KMB,41A,"青衣(長安邨)","尖沙咀東",Regular
KMB,41A,"尖沙咀東","青衣(長安邨)",Regular
Citybus,41A,"華富 (中)","北角碼頭",Regular
KMB,41M,"青衣碼頭","荃灣站",Regular
KMB,41M,"荃灣站","青衣碼頭",Regular
KMB,41R,"紅磡香港體育館","青衣(長青邨)",Regular
KMB,42,"青衣(長康邨)","順利",Regular
KMB,42,"順利","青衣(長康邨)",Regular
Citybus,42,"華富 (南)","北角碼頭",Regular
KMB,42A,"青衣(長亨邨)","佐敦(西九龍站)",Regular
KMB,42A,"佐敦(西九龍站)","青衣(長亨邨)",Regular
KMB,42C,"青衣(長亨邨)","藍田站",Regular
KMB,42C,"藍田站","青衣(長亨邨)",Regular
Citybus,42C,"數碼港","北角碼頭",Regular
KMB,42M,"青衣(長宏邨)","荃灣(愉景新城)",Regular
KMB,42M,"荃灣(愉景新城)","青衣(長宏邨)",Regular
KMB,43,"青衣(長康邨)","荃灣西站",Regular
KMB,43,"荃灣西站","青衣(長康邨)",Regular
KMB,43A,"青衣(長宏邨)","石籬(大隴街)",Regular
KMB,43A,"石籬(大隴街)","青衣(長宏邨)",Regular
KMB,43B,"青衣(長青邨)","荃灣西站",Regular
KMB,43B,"荃灣西站","青衣(長青邨)",Regular
KMB,43C,"青衣(長康邨)","維港灣",Regular
KMB,43C,"維港灣","青衣(長亨邨)",Regular
KMB,43D,"青衣(長宏邨)","葵盛",Regular
KMB,43M,"葵芳站","長青(循環線)",Regular
Citybus,43M,"田灣","石塘咀",Regular
KMB,43P,"荃灣西站","香港科學園",Regular
KMB,43P,"香港科學園","荃灣西站",Regular
Citybus,43R,"堅尼地城站","堅尼地城",Regular
KMB,43S,"石蔭","香港科學園",Regular
KMB,43S,"香港科學園","石蔭",Regular
KMB,43X,"耀安","荃灣西站",Regular
KMB,43X,"保泰街","荃灣西站",Special Service
KMB,43X,"荃灣西站","耀安",Regular
KMB,44,"青衣邨","旺角東站",Regular
KMB,44,"旺角東站","青衣邨",Regular
KMB,44M,"青衣站","葵涌邨",Regular
KMB,44M,"青衣(長安邨)","葵興站",Special Service
KMB,44M,"葵涌邨","青衣站",Regular
KMB,45,"九龍城碼頭","葵涌(麗瑤邨)",Regular
KMB,45,"葵涌(麗瑤邨)","九龍城碼頭",Regular
KMB,46,"佐敦(西九龍站)","葵涌(麗瑤邨)",Regular
KMB,46,"葵涌(麗瑤邨)","佐敦(西九龍站)",Regular
KMB,46P,"美田","葵芳站",Regular
KMB,46P,"葵芳站","美田",Regular
KMB,46R,"大圍站","昂船洲軍營",Regular
KMB,46R,"昂船洲軍營","大圍站",Regular
KMB,46S,"顯徑","荃灣(如心廣場)",Regular
KMB,46S,"荃灣(如心廣場)","顯徑",Regular
KMB,46X,"顯徑","美孚",Regular
KMB,46X,"美孚","顯徑",Regular
KMB,47A,"水泉澳","葵芳(南)",Regular
KMB,47A,"水泉澳","葵芳(南)",Special Service
KMB,47A,"葵芳(南)","水泉澳",Regular
Citybus,47P,"堅尼地城 (卑路乍灣)","黃竹坑",Regular
KMB,47X,"秦石","葵盛(東)",Regular
KMB,47X,"秦石","葵盛(東)",Special Service
KMB,47X,"新田圍","葵盛(東)",Special Service
KMB,47X,"葵盛(東)","秦石",Regular
Citybus,48,"深灣／海洋公園","華富 (北)",Regular
KMB,48P,"火炭駿洋邨","青龍頭",Regular
KMB,48P,"青龍頭","火炭駿洋邨",Regular
KMB,48X,"禾輋","荃灣(灣景花園)",Regular
KMB,48X,"荃灣(灣景花園)","禾輋",Regular
KMB,49,"青富苑","將軍澳工業邨",Regular
KMB,49,"將軍澳工業邨","青富苑",Regular
KMB,49A,"青富苑","荃灣西站",Regular
KMB,49A,"荃灣西站","青富苑",Regular
KMB,49M,"青衣(青富苑)","青衣站(循環線)",Regular
KMB,49P,"沙田巿中心","青衣碼頭",Regular
KMB,49X,"廣源","青衣碼頭",Regular
KMB,49X,"碩門邨","青衣碼頭",Special Service
KMB,49X,"廣源","青衣碼頭",Special Service
KMB,49X,"青衣碼頭","廣源",Regular
Citybus,49X,"小西灣 (藍灣半島)","數碼港",Regular
Citybus,50,"屯門 (菁田及和田)","尖沙咀 (九龍站)",Regular
Citybus,50M,"和田邨","屯門站",Regular
Citybus,50R,"香港體育館","屯門 (菁田及和田)",Regular
KMB,51,"荃灣(如心廣場)","上村(循環線)",Regular
KMB,52P,"掃管笏","旺角(柏景灣)",Regular
KMB,52X,"屯門巿中心","旺角(柏景灣)",Regular
KMB,52X,"旺角(柏景灣)","屯門巿中心",Regular
KMB,53,"元朗 形點","荃灣(如心廣場)",Regular
KMB,53,"荃灣(如心廣場)","元朗 形點",Regular
KMB,54,"元朗(西)","上村(循環線)",Regular
Citybus,55,"屯門 (菁田及和田)","觀塘碼頭",Regular
Citybus,56,"屯門 (和田及菁田)","上水 (天平邨)",Regular
Citybus,56A,"屯門 (和田及菁田)","粉嶺皇后山 (經:上水站)",Regular
KMB,57M,"屯門(山景邨)","荔景(北)",Regular
KMB,57M,"荔景(北)","屯門(山景邨)",Regular
KMB,58M,"屯門(良景邨)","葵芳站",Regular
KMB,58M,"屯門(建生邨)","葵芳站",Special Service
KMB,58M,"屯門(寶田邨)","葵芳站",Special Service
KMB,58M,"葵芳站","屯門(良景邨)",Regular
KMB,58P,"葵芳站","田景邨(田裕樓)",Regular
KMB,58X,"屯門(良景邨)","旺角東站",Regular
KMB,58X,"屯門(建生邨)","旺角東站",Special Service
KMB,58X,"旺角東站","屯門(良景邨)",Regular
KMB,59A,"屯門碼頭","葵芳(葵翠邨)",Regular
KMB,59A,"葵芳(葵翠邨)","屯門碼頭",Regular
KMB,59M,"屯門碼頭","荃灣站",Regular
KMB,59M,"悅湖山莊","荃灣站",Special Service
KMB,59M,"新屯門中心","荃灣站",Special Service
KMB,59M,"荃灣站","屯門碼頭",Regular
KMB,59X,"屯門碼頭","旺角東站",Regular
KMB,59X,"新屯門中心","旺角東站",Special Service
KMB,59X,"屯門(龍門居)","旺角東站",Special Service
KMB,59X,"旺角東站","屯門碼頭",Regular
KMB,60M,"屯門站","荃灣站",Regular
KMB,60M,"荃灣站","屯門站",Regular
